#,Element Name,Element Type,Element Sub-type,Element IDs,Cell line,Cell type,Organism,Tissue type,Location,Location ID,Element NOTES,,Variable,,,Positive Regulators,Positive Connection Type,Negative Regulators,Negative Connection Type
76,IFNG,gene,,P01579,,Macrophage,Human,Immune system,nucleus,GO:0005634,,,IFNGgene_nucMAC,,,,,,
77,IFNGR,Protein family,"1,2","P15260,P38484",Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,IFNGRpf_memPCC,,,,,,
78,IFNGR_ACT,Protein family,,"P15260,P38484",Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,IFNGR_ACTpf_memPCC,,,"(IFNGpn_ex,IFNGRpf_memPCC)","D,D",,
79,INGR2,Protein family,,P38484,,Macrophage,Human,Immune system,plasma membrane,GO:0005886,,,INGR2pf_memMAC,,,,,,
80,INGR2_ACT,Protein family,,P38484,,Macrophage,Human,Immune system,plasma membrane,GO:0005886,,,INGR2_ACTpf_memMAC,,,,,,
81,INGR2,gene,,P38484,,Macrophage,Human,Immune system,nucleus,GO:0005634,,,INGR2gene_nucMAC,,,,,PDL1L1pn_ex,D
82,IGF1,Protein family,"1,2,insulin","P05019,P01308,P01344",,,Human,Pancreas,extracellular,GO:0005576,,,IGF1pf_ex,,,,,,
83,IGF1R,Protein family,,"P08069,P06213",Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,IGF1Rpf_memPCC,,,,,,
84,IGF1R_ACT,Protein family,,"P08069,P06213",Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,IGF1R_ACTpf_memPCC,,,"(IGF1pf_ex,IGF1Rpf_memPCC)","D,D",,
85,IL1B,Protein family,,P01584,,,Human,Pancreas,extracellular,GO:0005576,,,IL1Bpf_ex,,,IL1Brna_nucPCC,D,,
86,IL1B,mRNA,,P01584,Pancreatic,Pancreas,Human,Immune system,nucleus,GO:0005634,,,IL1Brna_nucPCC,,,IL1Bgene_nucPCC,D,,
87,IL1B,gene,,P01584,Pancreatic,Pancreas,Human,Immune system,nucleus,GO:0005634,,,IL1Bgene_nucPCC,,,P38MAPKpf_nucPCC,I,,
88,IL1B,mRNA,,P01584,,Macrophage,Human,Immune system,nucleus,GO:0005634,,,IL1Brna_nucMAC,,,,,,
89,IL1B,gene,,P01584,,Macrophage,Human,Immune system,nucleus,GO:0005634,,,IL1Bgene_nucMAC,,,,,,
90,IL1R1,Protein family,,P14778,Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,IL1R1pf_memPCC,,,,,,
91,IL1R1_ACT,Protein family,,P14778,Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,IL1R1_ACTpf_memPCC,,,"(IL1Bpf_ex,IL1R1pf_memPCC)","D,D",,
92,IL1R1,Protein family,,P14778,Pancreatic,Macrophage,Human,Pancreas,plasma membrane,GO:0005886,,,IL1R1pf_memMAC,,,,,,
93,IL1R1_ACT,Protein family,,P14778,,Macrophage,Human,Immune system,plasma membrane,GO:0005886,,,IL1R1_ACTpf_memMAC,,,IL1Bpf_ex,D,,
94,IL1R1,mRNA,,P14778,,Macrophage,Human,Immune system,nucleus,GO:0005634,,,IL1R1rna_nucMAC,,,,,,
95,IL1R1,gene,,P14778,,Macrophage,Human,Immune system,nucleus,GO:0005634,,,IL1R1gene_nucMAC,,,,,,
96,IL6,Protein,,P05231,,,Human,Pancreas,extracellular,GO:0005576,,,IL6pn_ex,,,,,,
97,IL6,mRNA,,P05231,,Macrophage,Human,Immune system,nucleus,GO:0005634,,,IL6rna_nucMAC,,,,,,
98,IL6,gene,,P05231,,Macrophage,Human,Immune system,nucleus,GO:0005634,,,IL6gene_nucMAC,,,,,,
99,IL6RB,Protein family,"A,B","P08887,P40189",Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,IL6RBpf_memPCC,,,,,,
100,IL6RB_ACT,Protein family,,"P08887,P40189",Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,IL6RB_ACTpf_memPCC,,,"(IL6pn_ex,IL6RBpf_memPCC)","D,D",,
101,IL6RB,Protein family,,"P08887,P40189",,Macrophage,Human,Immune system,plasma membrane,GO:0005886,,,IL6RBpf_memMAC,,,,,,
102,IL6RB_ACT,Protein family,,"P08887,P40189",,Macrophage,Human,Immune system,plasma membrane,GO:0005886,,,IL6RB_ACTpf_memMAC,,,IL6pn_ex,D,,
103,IL6RB,mRNA,,"P08887,P40189",,Macrophage,Human,Immune system,nucleus,GO:0005634,,,IL6RBrna_nucMAC,,,,,,
104,IL6RB,gene,,"P08887,P40189",,Macrophage,Human,Immune system,nucleus,GO:0005634,,,IL6RBgene_nucMAC,,,,,,
105,IL10,Protein,,P22301,,,Human,Immune system,extracellular,GO:0005576,,,IL10pn_ex,,,,,,
106,IL10,mRNA,,P22301,,Macrophage,Human,Immune system,nucleus,GO:0005634,,,IL10rna_nucMAC,,,,,,
107,IL10,gene,,P22301,,Macrophage,Human,Immune system,nucleus,GO:0005634,,,IL10gene_nucMAC,,,,,,
108,I10R1,Protein,,Q13651,,Macrophage,Human,Immune system,plasma membrane,GO:0005886,,,I10R1pn_memMAC,,,,,,
109,I10R1_ACT,Protein,,Q13651,,Macrophage,Human,Immune system,plasma membrane,GO:0005886,,,I10R1_ACTpn_memMAC,,,IL10pn_ex,D,,
110,INTEGRIN,Protein family,"a5,b1","P08648,P05556",Pancreatic,Pancreas,Human,Pancreas,plasma membrane,GO:0005886,,,INTEGRINpf_memPCC,,,FIBRONECTINpn_exPCC,D,,
111,IRS,Protein,,P35568,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,IRSpn_cytoPCC,,,IGF1R_ACTpf_memPCC,I,RPS6KB1pf_cytoPCC,D
112,JAK1,Protein family,,P23458,Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,JAK1pf_cytoPCC,,,"IFNGR_ACTpf_memPCC,IL1R1_ACTpf_memPCC","I,D",,
113,JAK2,Protein family,,O60674,,Macrophage,Human,Immune system,cytoplasm,GO:0005737,,,JAK2pf_cytoMAC,,,,,,
114,JNK,Protein family,,"P45983,P45984",Pancreatic,Pancreas,Human,Pancreas,cytoplasm,GO:0005737,,,JNKpf_cytoPCC,,,"ASKpf_cytoPCC,RAC1pn_cytoPCC","I,I",DUSP13pf_cytoPCC,I
115,JNK,Protein family,,"P45983,P45984",Pancreatic,Pancreas,Human,Pancreas,nucleus,GO:0005634,,,JNKpf_nucPCC,,,JNKpf_cytoPCC,D,,
