Element Name,,Database Name,Element ID,Element Type,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,,,Positive Reg ID,Positive Reg Type,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,,,Negative Reg ID,Negative Reg Type,Negative Reg Location,Negative Reg Location,Negative Reg Location ID,Mechanism,Connection Type,Paper ID,Evidence
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,P53,uniprot_P04637,uniprot,P04637,protein,,,,,I,PMC4712330,
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,I,PMC4712330,
PTEN,uniprot_P60484,uniprot,P60484,protein,,,,,,,,,,,,,PI3K,be_PI3K,be,P42336,protein,,,,,I,PMC4712330,
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,TCR,uniprot_P04234,uniprot,P04234,protein,,,,,I,PMC4302769,
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,protein,,,,,I,PMC4302769,
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,protein,,,,,I,PMC4302769,
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,protein,,,,,I,PMC4302769,
Foxo1,uniprot_Q12778,uniprot,Q12778,protein,,,,,,,,,,,,,AKT,be_AKT,be,P31749,family,,,,,I,PMC4302769,
CD4,uniprot_P01730,uniprot,P01730,protein,,,,,,,,,,,,,TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,protein,,,,,I,PMC4302769,
Foxo1,uniprot_Q12778,uniprot,Q12778,protein,,,,,,,,,,,,,AKT,be_AKT,be,P31749,family,,,,,I,PMC4302769,
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,protein,,,,,I,PMC4302769,//Hawse et al
AKT,be_AKT,be,P31749,family,,,,,,,,,,,,,PI,be_PI3K,be,P42336,protein,,,,,I,PMC4487994,
