,Element Name,Element Type,Element ID,Positive Reg Name,Positive Reg Type,Positive Reg ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Connection Type,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
567,p38mapk,family,p38,nan,protein,nan,sirt1,protein,q96eb6,i,['none'],['pmc5372348'],['nan'],1,100.0,40.0,1.0,140.0
523,mtorc1,protein,mtorc1,ras-erk,protein,uaz09690,nan,nan,nan,i,['none'],['pmc5723691'],['nan'],1,100.0,40.0,1.0,140.0
569,p38mapk,family,p38,nan,simple-chemical,nan,sp600125,simple-chemical,8515,i,['none'],['pmc5372348'],['nan'],1,100.0,40.0,1.0,140.0
572,p53,protein,p04637,nan,simple-chemical,nan,hdac inhibitors,simple-chemical,uaz03116,i,['none'],['pmc5723691'],['nan'],1,100.0,40.0,1.0,140.0
409,kras,protein,p01116,nan,protein,nan,np,protein,o60259,i,['none'],['pmc5312311'],['nan'],1,100.0,40.0,1.0,140.0
209,egfr,protein,p00533,nan,protein,nan,siah,protein,uaz13439,i,['none'],['pmc5049993'],['nan'],1,100.0,40.0,1.0,140.0
477,mek,family,mek,ksr,protein,q8ivt5,nan,nan,nan,i,['none'],['pmc4020307'],['nan'],1,100.0,40.0,1.0,140.0
476,mek,family,mek,gsk525762,protein,uaz13465,nan,nan,nan,i,['none'],['pmc5908790'],['nan'],1,100.0,40.0,1.0,140.0
210,egfr,protein,p00533,nan,simple-chemical,nan,afatinib,simple-chemical,10184653,i,['none'],['pmc5127645'],['nan'],1,100.0,40.0,1.0,140.0
561,p38 mapk,family,p38,nan,protein,nan,ppar,protein,q07869,i,['none'],['pmc5190119'],['nan'],1,100.0,40.0,1.0,140.0
208,egfr,protein,p00533,ko,simple-chemical,25113109,nan,nan,nan,i,['none'],['pmc6006154'],['nan'],1,100.0,40.0,1.0,140.0
558,p38,family,p38,nan,protein,nan,ppar,protein,q07869,i,['none'],['pmc5190119'],['nan'],1,100.0,40.0,1.0,140.0
522,mtorc1,protein,mtorc1,nan,simple-chemical,nan,rapamycin,simple-chemical,5284616,i,['none'],['pmc5723691'],['nan'],1,100.0,40.0,1.0,140.0
436,mapk,family,erk,erk inhibitor,simple-chemical,uaz00224,nan,nan,nan,i,['none'],['pmc5190119'],['nan'],1,100.0,40.0,1.0,140.0
426,map,protein,p12872,fak,protein,q05397,nan,nan,nan,i,['none'],['pmc5432316'],['nan'],1,100.0,40.0,1.0,140.0
432,mapk,family,erk,braf inhibitors,simple-chemical,uaz00044,nan,nan,nan,i,['none'],['pmc4179759'],['nan'],1,100.0,40.0,1.0,140.0
433,mapk,family,erk,dabrafenib,simple-chemical,44462760,nan,nan,nan,i,['none'],['pmc6472057'],['nan'],1,100.0,40.0,1.0,140.0
488,mek,family,mek,trametinib,simple-chemical,11707110,nan,nan,nan,i,['none'],['pmc5908790'],['nan'],1,100.0,40.0,1.0,140.0
557,p38,family,p38,nan,bioprocess,nan,apoptosis,bioprocess,go:0006915,i,['none'],['pmc5190119'],['nan'],1,100.0,40.0,1.0,140.0
559,p38 mapk,family,p38,cell death,bioprocess,go:0008219,nan,nan,nan,i,['none'],['pmc4783893'],['nan'],1,100.0,40.0,1.0,140.0
479,mek,family,mek,nan,protein,nan,bet,protein,q8nft8,i,['none'],['pmc5908790'],['nan'],1,100.0,40.0,1.0,140.0
486,mek,family,mek,rtks,protein,uaz00105,nan,nan,nan,i,['none'],['pmc5908790'],['nan'],1,100.0,40.0,1.0,140.0
485,mek,family,mek,rdm1,protein,q8ng50,nan,nan,nan,i,['none'],['pmc6396142'],['nan'],1,100.0,40.0,1.0,140.0
560,p38 mapk,family,p38,mapkapk-2,protein,p49137,nan,nan,nan,i,['none'],['pmc4783893'],['nan'],1,100.0,40.0,1.0,140.0
484,mek,family,mek,pd0325901,simple-chemical,9826528,nan,nan,nan,i,['none'],['pmc5723691'],['nan'],1,100.0,40.0,1.0,140.0
483,mek,family,mek,nan,simple-chemical,nan,selumetinib,simple-chemical,10127622,i,['none'],['pmc4179759'],['nan'],1,100.0,40.0,1.0,140.0
176,da-raf1,protein,p10398,daraf gene,protein,uaz12760,nan,nan,nan,i,['none'],['pmc2064279'],['nan'],1,100.0,40.0,1.0,140.0
562,p38 mapk,family,p38,ppar,protein,q07869,nan,nan,nan,i,['none'],['pmc5190119'],['nan'],1,100.0,40.0,1.0,140.0
473,mek,family,mek,bet,protein,q8nft8,nan,nan,nan,i,['none'],['pmc5908790'],['nan'],1,100.0,40.0,1.0,140.0
449,mapk,family,erk,nan,protein,nan,ksr,protein,q8ivt5,i,['none'],['pmc4020307'],['nan'],1,100.0,40.0,1.0,140.0
314,ert,protein,p78545,pbx3,protein,p40426,nan,nan,nan,i,['none'],['pmc5609034'],['nan'],1,100.0,40.0,1.0,140.0
268,erk,family,erk,nan,protein,nan,nm23-h1,protein,p15531,i,['none'],['pmc4020307'],['nan'],1,100.0,40.0,1.0,140.0
271,erk,family,erk,nan,protein,nan,ptp,protein,p05451,i,['none'],['pmc6006154'],['nan'],1,100.0,40.0,1.0,140.0
272,erk,family,erk,nan,protein,nan,ptprj,protein,q12913,i,['none'],['pmc6006154'],['nan'],1,100.0,40.0,1.0,140.0
274,erk,family,erk,nan,protein,nan,ptps,protein,q03393,i,['none'],['pmc6006154'],['nan'],1,100.0,40.0,1.0,140.0
276,erk,family,erk,nan,protein,nan,sirt1,protein,q96eb6,i,['none'],['pmc5372348'],['nan'],1,100.0,40.0,1.0,140.0
277,erk,family,erk,nan,protein,nan,tgn-020,protein,uaz13145,i,['none'],['pmc6113736'],['nan'],1,100.0,40.0,1.0,140.0
278,erk,family,erk,nan,simple-chemical,nan,dabrafenib,simple-chemical,44462760,i,['none'],['pmc6472057'],['nan'],1,100.0,40.0,1.0,140.0
285,erk,family,erk,pd0325901,simple-chemical,9826528,nan,nan,nan,i,['none'],['pmc5723691'],['nan'],1,100.0,40.0,1.0,140.0
286,erk,family,erk,ppar,protein,q07869,nan,nan,nan,i,['none'],['pmc5190119'],['nan'],1,100.0,40.0,1.0,140.0
287,erk,family,erk,ptprs,protein,q13332,nan,nan,nan,i,['none'],['pmc6006154'],['nan'],1,100.0,40.0,1.0,140.0
289,erk,family,erk,raf265,protein,uaz00112,nan,nan,nan,i,['none'],['pmc6472057'],['nan'],1,100.0,40.0,1.0,140.0
291,erk,family,erk,rdm1,protein,q8ng50,nan,nan,nan,i,['none'],['pmc6396142'],['nan'],1,100.0,40.0,1.0,140.0
292,erk,family,erk,rtks,protein,uaz00105,nan,nan,nan,i,['none'],['pmc5908790'],['nan'],1,100.0,40.0,1.0,140.0
293,erk,family,erk,sirt1,protein,q96eb6,nan,nan,nan,i,['none'],['pmc5372348'],['nan'],1,100.0,40.0,1.0,140.0
294,erk,family,erk,tgf- β,protein,uaz00333,nan,nan,nan,i,['none'],['pmc4440819'],['nan'],1,100.0,40.0,1.0,140.0
295,erk,family,erk,tgf-β,family,uaz00333,nan,nan,nan,i,['none'],['pmc4440819'],['nan'],1,100.0,40.0,1.0,140.0
298,erk,family,erk,trametinib,simple-chemical,11707110,nan,nan,nan,i,['none'],['pmc5908790'],['nan'],1,100.0,40.0,1.0,140.0
299,erk,family,erk,transcription,bioprocess,go:0006351,nan,nan,nan,i,['none'],['pmc4846800'],['nan'],1,100.0,40.0,1.0,140.0
448,mapk,family,erk,nan,protein,nan,il-1β,protein,uaz00382,i,['none'],['pmc5372348'],['nan'],1,100.0,40.0,1.0,140.0
447,mapk,family,erk,nan,protein,nan,az628,protein,uaz00070,i,['none'],['pmc6472057'],['nan'],1,100.0,40.0,1.0,140.0
446,mapk,family,erk,myd88,protein,q99836,nan,nan,nan,i,['none'],['pmc5190119'],['nan'],1,100.0,40.0,1.0,140.0
445,mapk,family,erk,mir-320,protein,uaz12995,nan,nan,nan,i,['none'],['pmc5609034'],['nan'],1,100.0,40.0,1.0,140.0
444,mapk,family,erk,mek inhibitors,simple-chemical,uaz00058,nan,nan,nan,i,['none'],['pmc4179759'],['nan'],1,100.0,40.0,1.0,140.0
441,mapk,family,erk,ksr1,protein,q8ivt5,nan,nan,nan,i,['none'],['pmc4020307'],['nan'],1,100.0,40.0,1.0,140.0
269,erk,family,erk,nan,protein,nan,nm23-h2,protein,p22392,i,['none'],['pmc4020307'],['nan'],1,100.0,40.0,1.0,140.0
267,erk,family,erk,nan,protein,nan,ndpks,protein,uaz12654,i,['none'],['pmc4020307'],['nan'],1,100.0,40.0,1.0,140.0
466,mapk1,protein,p28482,nan,protein,nan,np,protein,o60259,i,['none'],['pmc5312311'],['nan'],1,100.0,40.0,1.0,140.0
266,erk,family,erk,nan,protein,nan,mir-382-5p,protein,uaz12803,i,['none'],['pmc5410235'],['nan'],1,100.0,40.0,1.0,140.0
465,mapk1,protein,p28482,nan,protein,nan,mir-181a,protein,uaz11673,i,['none'],['pmc5312311'],['nan'],1,100.0,40.0,1.0,140.0
462,mapk,family,erk,sos,family,sos,nan,nan,nan,i,['none'],['pmc3498325'],['nan'],1,100.0,40.0,1.0,140.0
461,mapk,family,erk,scf,protein,p21583,nan,nan,nan,i,['none'],['pmc5958651'],['nan'],1,100.0,40.0,1.0,140.0
457,mapk,family,erk,nan,simple-chemical,nan,selumetinib,simple-chemical,10127622,i,['none'],['pmc4179759'],['nan'],1,100.0,40.0,1.0,140.0
451,mapk,family,erk,nan,protein,nan,nm23-h1,protein,p15531,i,['none'],['pmc4020307'],['nan'],1,100.0,40.0,1.0,140.0
450,mapk,family,erk,nan,protein,nan,mir-320,protein,uaz12995,i,['none'],['pmc5609034'],['nan'],1,100.0,40.0,1.0,140.0
586,pi3k,protein,pi3k,fgf2,protein,p09038,nan,nan,nan,i,['none'],['pmc4440819'],['nan'],1,100.0,40.0,1.0,140.0
237,erk,family,erk,bet,protein,q8nft8,nan,nan,nan,i,['none'],['pmc5908790'],['nan'],1,100.0,40.0,1.0,140.0
238,erk,family,erk,camp,protein,p49913,nan,nan,nan,i,['none'],['pmc4846800'],['nan'],1,100.0,40.0,1.0,140.0
240,erk,family,erk,dusp5,protein,q16690,nan,nan,nan,i,['none'],['pmc5599027'],['nan'],1,100.0,40.0,1.0,140.0
241,erk,family,erk,dusp6,protein,q16828,nan,nan,nan,i,['none'],['pmc5599027'],['nan'],1,100.0,40.0,1.0,140.0
242,erk,family,erk,fgf1,protein,p05230,nan,nan,nan,i,['none'],['pmc4440819'],['nan'],1,100.0,40.0,1.0,140.0
244,erk,family,erk,fibroblast growth factor 2,protein,p09038,nan,nan,nan,i,['none'],['pmc4440819'],['nan'],1,100.0,40.0,1.0,140.0
245,erk,family,erk,fos,family,fos_family,nan,nan,nan,i,['none'],['pmc2911390'],['nan'],1,100.0,40.0,1.0,140.0
246,erk,family,erk,gm,simple-chemical,188959,nan,nan,nan,i,['none'],['pmc5824365'],['nan'],1,100.0,40.0,1.0,140.0
247,erk,family,erk,gsk525762,protein,uaz13465,nan,nan,nan,i,['none'],['pmc5908790'],['nan'],1,100.0,40.0,1.0,140.0
248,erk,family,erk,hepatocyte growth factor,protein,p14210,nan,nan,nan,i,['none'],['pmc4440819'],['nan'],1,100.0,40.0,1.0,140.0
249,erk,family,erk,ier3,protein,p46695,nan,nan,nan,i,['none'],['pmc2911390'],['nan'],1,100.0,40.0,1.0,140.0
250,erk,family,erk,ksr,protein,q8ivt5,nan,nan,nan,i,['none'],['pmc4020307'],['nan'],1,100.0,40.0,1.0,140.0
255,erk,family,erk,mir-382-5p,protein,uaz12803,nan,nan,nan,i,['none'],['pmc5410235'],['nan'],1,100.0,40.0,1.0,140.0
261,erk,family,erk,nan,protein,nan,da-raf1,protein,uaz12725,i,['none'],['pmc4440819'],['nan'],1,100.0,40.0,1.0,140.0
262,erk,family,erk,nan,protein,nan,dep-1,protein,q12913,i,['none'],['pmc6006154'],['nan'],1,100.0,40.0,1.0,140.0
264,erk,family,erk,nan,protein,nan,lamp1,protein,p11279,i,['none'],['pmc5723691'],['nan'],1,100.0,40.0,1.0,140.0
437,mapk,family,erk,gna11,protein,p29992,nan,nan,nan,i,['none'],['pmc4179759'],['nan'],1,100.0,40.0,1.0,140.0
381,jnk,family,jnk,il-1,family,pf00340,nan,nan,nan,i,['none'],['pmc5372348'],['nan'],1,100.0,40.0,1.0,140.0
587,pi3k,protein,pi3k,mts-stat3-s/d,protein,uaz12585,nan,nan,nan,i,['none'],['pmc3843736'],['nan'],1,100.0,40.0,1.0,140.0
679,ras,family,pf00071,nan,protein,nan,tcf7l2,protein,q9nqb0,i,['none'],['pmc5755028'],['nan'],1,100.0,40.0,1.0,140.0
687,ras,family,pf00071,ptprs,protein,q13332,nan,nan,nan,i,['none'],['pmc6006154'],['nan'],1,100.0,40.0,1.0,140.0
686,ras,family,pf00071,ptpn11,protein,q06124,nan,nan,nan,i,['none'],['pmc5886052'],['nan'],1,100.0,40.0,1.0,140.0
685,ras,family,pf00071,piggybac,protein,uaz08961,nan,nan,nan,i,['none'],['pmc5755028'],['nan'],1,100.0,40.0,1.0,140.0
684,ras,family,pf00071,pd0325901,simple-chemical,9826528,nan,nan,nan,i,['none'],['pmc5723691'],['nan'],1,100.0,40.0,1.0,140.0
683,ras,family,pf00071,nras,protein,p01111,nan,nan,nan,i,['none'],['pmc5069826'],['nan'],1,100.0,40.0,1.0,140.0
682,ras,family,pf00071,nan,simple-chemical,nan,pd0325901,simple-chemical,9826528,i,['none'],['pmc5908790'],['nan'],1,100.0,40.0,1.0,140.0
681,ras,family,pf00071,nan,simple-chemical,nan,i-bet151,simple-chemical,52912189,i,['none'],['pmc5908790'],['nan'],1,100.0,40.0,1.0,140.0
75,bcl-2,family,p10415,nan,simple-chemical,nan,akt inhibitors,simple-chemical,uaz00097,i,['none'],['pmc4067595'],['nan'],1,100.0,40.0,1.0,140.0
76,bcl-2,family,p10415,nan,simple-chemical,nan,dexamethasone,simple-chemical,5743,i,['none'],['pmc4067595'],['nan'],1,100.0,40.0,1.0,140.0
77,bcl2,protein,p10415,nan,protein,nan,mir-181a,protein,uaz11673,i,['none'],['pmc5312311'],['nan'],1,100.0,40.0,1.0,140.0
78,becn1,protein,q14457,u0126,simple-chemical,3006531,nan,nan,nan,i,['none'],['pmc4535867'],['nan'],1,100.0,40.0,1.0,140.0
680,ras,family,pf00071,nan,protein,nan,tf,protein,p02787,i,['none'],['pmc5312311'],['nan'],1,100.0,40.0,1.0,140.0
