,Element Name,Element Type,Element ID,Location,Location ID,Cell Line,Cell Type,Organism,Positive Reg Name,Positive Reg Type,Positive Reg ID,Positive Reg Location,Positive Reg Location ID,Negative Reg Name,Negative Reg Type,Negative Reg ID,Negative Reg Location,Negative Reg Location ID,Connection Type,Database Name,Mechanism,Paper ID,Evidence,Evidence Score,Match Score,Kind Score,Epistemic Value,Total Score
41,ctrl,protein,p40313,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,akt,family,p31749,nan,nan,i,['nan'],['nan'],['pmc2275380'],['nan'],1,1,40,1,41
40,ctla4,protein,p16410,nan,nan,nan,nan,nan,foxp3,protein,q9bzs1,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc2275380'],['nan'],1,1,40,1,41
39,ck2,protein,q53gl0,nan,nan,nan,nan,nan,tcr,protein,p01850,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4418530'],['nan'],1,1,40,1,41
34,cd8,family,cd8,nan,nan,nan,nan,nan,pten,protein,p60484,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc3375464'],['nan'],1,1,40,1,41
99,tbk1,protein,q9uhd2,nan,nan,nan,nan,nan,mtorc1,protein,q8n122,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4302769'],['nan'],1,1,40,1,41
24,cd4,protein,p01730,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,akt,family,p31749,nan,nan,i,['nan'],['nan'],['pmc2275380'],['nan'],1,1,40,1,41
28,cd4,protein,p01730,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,tcr,protein,p04234,nan,nan,i,['nan'],['nan'],['pmc3949578'],['nan'],1,1,40,1,41
21,cd3,protein,cd3,nan,nan,nan,nan,nan,bcl2,protein,p10415,nan,nan,nan,nan,nan,nan,nan,i,"['nan', 'nan']","['nan', 'nan']","['pmc5193405', 'pmc5193405']","['nan', 'nan']",2,0.1,40,1,40.2
78,pak1,protein,q13153,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,sipak1,protein,uaz03324,nan,nan,i,['nan'],['nan'],['pmc4487994'],['nan'],1,0.1,40,1,40.1
72,pak1,protein,q13153,nan,nan,nan,nan,nan,bim,protein,o43521,nan,nan,nan,nan,nan,nan,nan,i,['nan'],['nan'],['pmc4487994'],['nan'],1,0.1,40,1,40.1
